FL1.H,FL2.H,FL3.H,FL4.H
0.0,0.0,0.0,181.63468933099998
0.0,0.0,99.4436416626,45.930610656700004
0.0,0.0,0.0,80.3785705566
0.0,5.240778923030001,93.0961761475,114.826530457
5.412698268890001,156.175201416,157.628753662,83.5102005005
7.57777786255,63.9375,40.2006187439,163.888778687
3.24761915207,105.86373138399999,0.0,187.897964478
0.0,45.0706977844,0.0,186.8540802
0.0,7.33709001541,106.84901428200001,245.311218262
0.0,85.94876861569998,136.47052002,189.985717773
0.0,80.7079925537,96.2699050903,90.81734466549999
0.0,179.23463439900002,145.991729736,152.40612793
0.0,161.415985107,119.543952942,175.37142944299995
11.907936096199998,119.48975372299999,0.0,56.3693885803
0.0,0.0,159.74456787100002,24.0091838837
596.4793701169999,95.3821716309,638.9782714840001,0.0
3.24761915207,0.0,192.53981018099998,0.0
568.333312988,25.155736923200003,662.252319336,159.713272095
0.0,0.0,58.185108184799994,127.35305786100001
29.2285709381,23.059425354000002,107.906929016,171.195922852
0.0,40.878074646,98.38572692870001,126.30918121299999
636.533325195,116.345283508,517.318481445,0.0
0.0,51.3596305847,101.55946350100001,198.33673095700001
2.16507935524,35.6372947693,139.644256592,159.713272095
90.93333435059999,661.386291504,599.835571289,697.310180664
0.0,139.404708862,33.853153228800004,267.232666016
15.1555557251,19.9149589539,1.0579110384,250.53060913099998
497.968261719,170.84938049299998,635.80456543,167.020401001
0.0,86.996925354,152.339187622,131.528564453
50.8793640137,0.0,16.926576614400002,0.0
0.0,32.492828369099996,0.0,242.179595947
0.0,79.6598358154,183.01861572299998,159.713272095
0.0,70.2264328003,24.331954956100002,0.0
0.0,0.0,143.875900269,0.0
527.196838379,128.923156738,551.171691895,193.117340088
0.0,162.464141846,82.5170593262,127.35305786100001
0.0,0.0,114.254394531,263.057128906
0.0,112.152664185,15.868665695199999,152.40612793
0.0,172.94569397,47.6059989929,180.590820312
0.0,0.0,0.0,193.117340088
90.93333435059999,0.0,74.0537719727,0.0
33.5587310791,0.0,62.4167518616,289.154083252
70.3650817871,86.996925354,154.45501709,0.0
0.0,94.3340148926,130.123062134,200.424484253
0.0,0.0,0.0,204.60000610400002
0.0,168.753067017,92.03826141360001,59.5010185242
93.0984115601,0.0,0.0,227.565307617
569.415893555,131.019470215,561.750793457,187.897964478
0.0,0.0,0.0,277.67141723599997
628.955566406,93.2858581543,640.036193848,260.969390869
0.0,0.0,76.169593811,249.486740112
0.0,0.0,0.0,215.038772583
63.8698425293,39.8299179077,148.107543945,87.6857147217
0.0,0.0,84.63288879390001,241.13571167
397.29205322300004,0.0,559.63494873,120.045921326
34.641269683800004,0.0,4.2316441535900005,135.704086304
605.139709473,26.2038936615,636.862487793,146.142852783
0.0,0.0,40.2006187439,241.13571167
0.0,76.5153656006,110.022750854,140.923461914
0.0,0.0,130.123062134,73.0714263916
12.9904766083,50.311473846400006,148.107543945,272.45202636700003
0.0,134.16394043,65.5904846191,288.110198975
4.33015871048,122.63422393799999,0.0,275.583679199
613.799987793,84.9006118774,612.5305175780001,181.63468933099998
95.26348876950001,79.6598358154,74.0537719727,192.07347106900002
16.2380943298,135.21209716799999,0.0,259.92550659200003
68.1999969482,36.6854515076,128.007232666,193.117340088
565.0856933590001,191.8125,690.8159179689999,245.311218262
0.0,0.0,0.0,193.117340088
74.69523620609999,17.818647384600002,27.5056877136,232.784698486
0.0,712.745910645,634.7466430659999,793.3469238280002
0.0,0.0,105.79110717799999,170.152038574
585.653991699,0.0,684.468444824,246.35510253900003
86.6031723022,68.1301193237,196.771453857,191.029586792
2.16507935524,0.0,28.5635986328,231.740814209
0.0,0.0,135.412612915,0.0
48.7142868042,54.504096984899995,0.0,308.987762451
598.644470215,46.118850708000004,521.550170898,318.382659912
0.0,145.693649292,163.97621154799998,230.69694519
0.0,76.5153656006,43.374355316199996,215.038772583
0.0,165.608612061,15.868665695199999,252.618362427
630.038085938,105.86373138399999,499.334014893,94.9928588867
307.44128418,0.0,572.32989502,180.590820312
269.55236816400003,309.20593261700003,276.11477661099997,348.655090332
565.0856933590001,132.067626953,601.9514160159999,160.757141113
7.57777786255,123.68238067600001,17.9844875336,281.846923828
0.0,188.668029785,0.0,96.0367355347
0.0,132.067626953,0.0,0.0
3.24761915207,411.925201416,626.283325195,758.898986816
525.031738281,151.982574463,703.5108642580002,51.1500015259
0.0,0.0,0.0,173.283676147
0.0,0.0,34.9110641479,221.302047729
159.133331299,66.0338134766,41.2585296631,218.17041015599997
2.16507935524,82.8043060303,117.428131104,0.0
61.7047615051,10.4815578461,3.17373323441,103.3438797
